ArtistID,ArtistName
2495,The Script 
1592,Charlie Daniels
4570,The Rollers
1365,Johnny
3082,Mac McAnally
4711,Aretha Franklin 
362,Koffee Brown
4482,C.L. Smooth
1426,Slim Thug
149,Gunna 
2278,Anne-Marie
3256,Carlos Vives 
418,Neil Sedaka
2346,Roger Voudouris
3234,Matisyahu
2630,The Delacardos
4631,Josh Groban
150,Nu Flavor
1046,Will Smith 
498,Ace Of Base
905,A Boogie Wit da Hoodie 
151,Future
4198,The Cults
931,Chris Montez
3105,Randy Newman
3140,Street People
1742,Duice
580,Madonna
153,Alana Davis
1010,Bjork
353,Rick Springfield
154,Grand Puba
843,Mr. ColliPark
4740,King Von
1968,The Quin-Tones
155,The Tijuana Brass
2712,San Remo Golden Strings
768,Jefferson
1872,Madison Avenue
3733,Dennis Lloyd
156,Herb Alpert 
1731,Prince Royce
1934,Gloria Lynne
693,Neon Hitch
3606,Carl Mann
812,Pardison Fontaine 
158,Lil' Mo 
159,Timbaland
375,YoungBoy Never Broke Again
160,Justin Timberlake 
2672,Larry Elgart And His Manhattan Swing Orchestra
162,The Pixies Three
435,Chance The Rapper 
358,Merry Clayton
163,Lil Uzi Vert
2602,Filter
775,Sam Cooke
450,The Pointer Sisters
3560,Zapp 
164,The Byrds
263,Boston
547,Bryson Tiller
165,Brownstone
2080,Hunter Hayes 
166,Nonchalant
511,Cyndi Lauper
2700,Kiki Dee
827,Daniel Powter
1904,Pearl
1175,Cynthia
223,The Young Rascals
178,Sneaker Pimps
619,His Guitar
1114,Cypress Hill
2579,Frankie Ballard
4465,Passion Pit
4185,The Contours
804,Bebe Rexha 
167,Lily Allen
2290,Dorothy Moore
615,Tim McGraw
1862,Jimi Hendrix
382,Ja Rule
169,T-Pain 
4726,J-Kwon
171,Travis Scott
4896,All Star Tribute
1342,B.T. Express
172,Paul Simon
2136,The Premiers
373,Michel Telo
1215,The Adventures
301,Regina Belle
4960,B Rich
409,Hudson and Landry
427,Sister Sledge
3774,Wonder Girls
173,Train
4160,Shades
297,Bananarama
722,A Tribe Called Quest
536,The Association
497,The Rock Heroes
2181,Wild Blue
2638,Jess Glynne
1503,Joe Budden 
174,Bobby Bare
1358,Minor Detail
4245,The Belle Stars
175,Hooters
1005,The Browns
3255,Beth Hart
2357,Da Brat 
907,Sean Kingston 
955,Romeo Santos 
475,Faith Evans 
